Created Date,Created Time,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Borough
9/13/14,18:34,Noise - Residential,Loud Music/Party,Residential Building/House,10007,85 CHAMBERS STREET,CHAMBERS STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/13/14,21:08,Noise - Commercial,Car/Truck Horn,Store/Commercial,10038,10 MAIDEN LANE,MAIDEN LANE,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/14/14,4:03,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,,,,,BROOKLYN BRIDGE,SPRUCE STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/14/14,7:24,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10006,120 GREENWICH STREET,GREENWICH STREET,CARLISLE STREET,ALBANY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/14/14,10:47,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10007,73 WARREN STREET,WARREN STREET,WEST BROADWAY,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/14/14,17:36,Noise - Residential,Loud Talking,Residential Building/House,10038,59 MAIDEN LANE,MAIDEN LANE,NASSAU STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/14/14,17:40,Noise - Residential,Banging/Pounding,Residential Building/House,10038,59 MAIDEN LANE,MAIDEN LANE,NASSAU STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/15/14,2:49,Noise - Residential,Banging/Pounding,Residential Building/House,10005,20 EXCHANGE PLACE,EXCHANGE PLACE,HANOVER STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/16/14,1:48,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10038,,,,,JOHN STREET,GOLD STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/16/14,10:52,Noise - Residential,Banging/Pounding,Residential Building/House,10038,59 MAIDEN LANE,MAIDEN LANE,NASSAU STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/16/14,23:00,Noise - Vehicle,Engine Idling,Street/Sidewalk,10004,85 BROAD STREET,BROAD STREET,SOUTH WILLIAM STREET,STONE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/17/14,0:02,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10004,20 WEST STREET,WEST STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/17/14,2:13,Noise - Residential,Loud Music/Party,Residential Building/House,10007,333 BROADWAY,BROADWAY,THOMAS STREET,WORTH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/17/14,9:07,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,55 WALL STREET,WALL STREET,WILLIAM STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/17/14,9:10,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,55 WALL STREET,WALL STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/18/14,1:36,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10004,,,,,WEST STREET,MORRIS STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/18/14,9:15,Noise - Vehicle,Engine Idling,Street/Sidewalk,10280,375 SOUTH END AVENUE,SOUTH END AVENUE,ALBANY STREET,LIBERTY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/18/14,10:42,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROAD STREET,WALL STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/18/14,21:21,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/18/14,21:48,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10013,200 HUDSON STREET,HUDSON STREET,VESTRY STREET,DESBROSSES STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/18/14,23:08,Noise - Residential,Loud Talking,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
9/18/14,23:37,Noise - Residential,Loud Music/Party,Residential Building/House,10038,WATER STREET,WATER STREET,PECK SLIP,DOVER STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
9/19/14,13:16,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,MURRAY STREET,WARREN STREET,,,PLACENAME,NEW YORK,CITY HALL,MANHATTAN
9/19/14,15:25,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10006,,,,,CHURCH STREET,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/19/14,19:33,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,CORTLANDT ALLEY,WHITE STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/20/14,7:59,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,,,,,FULTON STREET,WATER STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/20/14,8:19,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,18 FULTON STREET,FULTON STREET,FRONT STREET,FRONT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/20/14,10:37,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10013,,,,,VARICK STREET,CANAL STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/20/14,17:52,Noise - Residential,Loud Music/Party,Residential Building/House,10007,10 BARCLAY STREET,BARCLAY STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/20/14,21:11,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038,27 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/20/14,21:20,Noise - Residential,Loud Music/Party,Residential Building/House,10004,1 WEST STREET,WEST STREET,BATTERY PLACE,MORRIS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/20/14,21:47,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/20/14,22:34,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,69 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
9/21/14,1:41,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,385 GREENWICH STREET,GREENWICH STREET,NORTH MOORE STREET,BEACH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/21/14,16:03,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,120 BROADWAY,BROADWAY,TRINITY CEMETERY BOUNDARY,THAMES STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/21/14,18:45,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,FRONT STREET,MAIDEN LANE,INTERSECTION,NEW YORK,,MANHATTAN
9/22/14,19:45,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,376 BROADWAY,BROADWAY,FRANKLIN STREET,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/22/14,20:20,Noise - Vehicle,Engine Idling,Street/Sidewalk,10006,75 WEST STREET,WEST STREET,PEDESTRIAN OVERPASS,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/22/14,21:14,Noise - Commercial,Banging/Pounding,Store/Commercial,10038,11 MAIDEN LANE,MAIDEN LANE,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/22/14,21:22,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10004,,,,,WEST SIDE HIGHWAY,MORRIS STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/23/14,0:39,Noise - Residential,Loud Television,Residential Building/House,10005,10 HANOVER SQUARE,HANOVER SQUARE,PEARL STREET,OLD SLIP,,,ADDRESS,NEW YORK,,MANHATTAN
9/23/14,6:35,Noise - Commercial,Banging/Pounding,Store/Commercial,10038,55 JOHN STREET,JOHN STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/23/14,15:09,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10007,,,,,WARREN STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
9/23/14,21:05,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10006,90 WASHINGTON STREET,WASHINGTON STREET,JOSEPH P WARD STREET,RECTOR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/24/14,15:43,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROAD STREET,WALL STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/24/14,21:26,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,FRANKLIN STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
9/24/14,23:23,Noise - Commercial,Banging/Pounding,Store/Commercial,10006,88 GREENWICH STREET,GREENWICH STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/26/14,3:40,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
9/26/14,6:17,Noise - Commercial,Car/Truck Horn,Store/Commercial,10038,11 MAIDEN LANE,MAIDEN LANE,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/26/14,6:54,Noise - Vehicle,Engine Idling,Street/Sidewalk,10281,,,,,SOUTH END AVENUE,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/26/14,12:43,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,,,,,FULTON STREET,GOLD STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/26/14,15:53,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10006,,,,,CHURCH STREET,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/26/14,17:47,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROAD STREET,WALL STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/26/14,21:13,Noise - Residential,Banging/Pounding,Residential Building/House,10013,474 GREENWICH STREET,GREENWICH STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/26/14,23:36,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10007,MURRAY STREET,MURRAY STREET,BROADWAY,CHURCH STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
9/26/14,23:52,Noise - Commercial,Banging/Pounding,Store/Commercial,10038,11 MAIDEN LANE,MAIDEN LANE,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,0:33,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,71 NORTH MOORE STREET,NORTH MOORE STREET,HUDSON STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,0:39,Noise - Commercial,Loud Music/Party,Store/Commercial,10007,185 CHURCH STREET,CHURCH STREET,READE STREET,DUANE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,1:40,Noise - Residential,Loud Music/Party,Residential Building/House,10005,45 WALL STREET,WALL STREET,BROAD STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,1:48,Noise - Commercial,Banging/Pounding,Store/Commercial,10007,,,,,CHURCH STREET,DUANE STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/27/14,5:25,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,16:52,Noise - Residential,Loud Music/Party,Residential Building/House,10005,45 WALL STREET,WALL STREET,BROAD STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,19:26,Noise - Residential,Loud Music/Party,Residential Building/House,10005,45 WALL STREET,WALL STREET,BROAD STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,20:42,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,,,,,PECK SLIP,SOUTH STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/27/14,22:48,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,22:50,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,385 GREENWICH STREET,GREENWICH STREET,NORTH MOORE STREET,BEACH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,22:58,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,23:13,Noise - Residential,Loud Music/Party,Residential Building/House,10005,,,,,WALL STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/27/14,23:14,Noise - Vehicle,Engine Idling,Street/Sidewalk,10280,30 WEST STREET,WEST STREET,1 PLACE,2 PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
9/27/14,23:31,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10281,,,,,SOUTH END AVENUE,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/28/14,1:07,Noise - Residential,Loud Music/Party,Residential Building/House,10013,376 BROADWAY,BROADWAY,FRANKLIN STREET,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/28/14,1:07,Noise - Residential,Loud Music/Party,Residential Building/House,10005,45 WALL STREET,WALL STREET,BROAD STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
9/28/14,17:22,Noise - Commercial,Loud Music/Party,Store/Commercial,10006,90 WASHINGTON STREET,WASHINGTON STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/28/14,18:11,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,1 PARK ROW,PARK ROW,BEND,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
9/29/14,3:39,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,,,,,WATER STREET,FULTON STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/29/14,10:38,Noise - Commercial,Banging/Pounding,Store/Commercial,10038,55 FULTON STREET,FULTON STREET,CLIFF STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
9/29/14,17:59,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,,,,,WHITE STREET,CORTLANDT ALLEY,INTERSECTION,NEW YORK,,MANHATTAN
9/29/14,23:12,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,116 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
9/30/14,2:56,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10038,,,,,FULTON STREET,GOLD STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/30/14,9:17,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROAD STREET,WALL STREET,INTERSECTION,NEW YORK,,MANHATTAN
9/30/14,18:39,Noise - Residential,Loud Music/Party,Residential Building/House,10013,336 CANAL STREET,CANAL STREET,BROADWAY,MERCER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/1/14,5:30,Noise - Vehicle,Engine Idling,Street/Sidewalk,10281,,,,,SOUTH END AVENUE,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/1/14,8:24,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10006,90 WASHINGTON STREET,WASHINGTON STREET,JOSEPH P WARD STREET,RECTOR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/1/14,21:31,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038,27 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,4:40,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,7:38,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,FRANKFORT ST,FRANKFORT ST,,,,,LATLONG,NEW YORK,,MANHATTAN
10/2/14,9:53,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,60 CENTRE STREET,CENTRE STREET,PEARL STREET,HAMILL PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,9:58,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,60 CENTRE STREET,CENTRE STREET,PEARL STREET,HAMILL PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,12:05,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,27 NORTH MOORE STREET,NORTH MOORE STREET,VARICK STREET,HUDSON STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,12:34,Noise - Vehicle,Engine Idling,Street/Sidewalk,10007,66 WEST BROADWAY,WEST BROADWAY,MURRAY STREET,WARREN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,15:39,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,140 BROADWAY,BROADWAY,NASSAU STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
10/2/14,16:08,Noise - Residential,Banging/Pounding,Residential Building/House,10038,66 FRANKFORT STREET,FRANKFORT STREET,FDR DRIVE EXIT 2 NORTHBOUND,GOLD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/3/14,3:30,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/3/14,13:47,Noise - Residential,Loud Music/Party,Residential Building/House,10013,392 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/3/14,22:54,Noise - Residential,Loud Music/Party,Residential Building/House,10013,376 BROADWAY,BROADWAY,FRANKLIN STREET,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/3/14,23:26,Noise - Residential,Banging/Pounding,Residential Building/House,10013,376 BROADWAY,BROADWAY,FRANKLIN STREET,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,0:02,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,0:10,Noise - Residential,Loud Music/Party,Residential Building/House,10005,122 WATER STREET,WATER STREET,WALL STREET,PINE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,4:57,Noise - Residential,Loud Music/Party,Residential Building/House,10005,15 BROAD STREET,BROAD STREET,NASSAU STREET,EXCHANGE PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,6:10,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,11:46,Noise - Residential,Loud Music/Party,Residential Building/House,10282,153 NORTH END AVENUE,NORTH END AVENUE,MURRAY STREET,MURRAY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,19:55,Noise - Residential,Loud Music/Party,Residential Building/House,10004,54 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,21:24,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,,,,,STONE STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/4/14,21:37,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,1 HANOVER SQUARE,HANOVER SQUARE,STONE STREET,PEARL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,21:46,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10004,,,,,STONE STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/4/14,22:00,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,3 HANOVER SQUARE,HANOVER SQUARE,STONE STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,22:17,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,95 PEARL STREET,PEARL STREET,COENTIES ALLEY,HANOVER SQUARE,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,22:27,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,,,,,HANOVER SQUARE,STONE STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/4/14,22:42,Noise - Residential,Banging/Pounding,Residential Building/House,10005,95 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/4/14,22:51,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10004,3 HANOVER SQUARE,HANOVER SQUARE,STONE STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,0:06,Noise - Residential,Loud Music/Party,Residential Building/House,10013,114 FRANKLIN STREET,FRANKLIN STREET,AVENUE OF THE AMERICAS,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,0:22,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,0:23,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,102 FRANKLIN STREET,FRANKLIN STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,0:23,Noise - Residential,Loud Music/Party,Residential Building/House,10013,,,,,FRANKLIN STREET,6 AVENUE,INTERSECTION,NEW YORK,,MANHATTAN
10/5/14,0:34,Noise - Residential,Loud Music/Party,Residential Building/House,10013,33 VESTRY STREET,VESTRY STREET,HUDSON STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,0:49,Noise - Residential,Loud Music/Party,Residential Building/House,10013,,,,,6 AVENUE,WHITE STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/5/14,0:55,Noise - Residential,Loud Music/Party,Residential Building/House,10038,2 GOLD STREET,GOLD STREET,LIBERTY STREET,PLATT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,0:57,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,101 READE STREET,READE STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,1:14,Noise - Residential,Loud Music/Party,Residential Building/House,10038,2 GOLD STREET,GOLD STREET,LIBERTY STREET,PLATT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,2:58,Noise - Residential,Banging/Pounding,Residential Building/House,10005,95 WALL STREET,WALL STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/5/14,21:21,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10013,,,,,VARICK STREET,CANAL STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/6/14,10:22,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,392 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/6/14,10:41,Noise - Residential,Loud Music/Party,Residential Building/House,10013,392 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/6/14,14:26,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,140 BROADWAY,BROADWAY,NASSAU STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
10/6/14,14:39,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,140 BROADWAY,BROADWAY,NASSAU STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
10/6/14,23:48,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10005,20 EXCHANGE PLACE,EXCHANGE PLACE,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/7/14,0:20,Noise - Residential,Loud Talking,Residential Building/House,10005,20 EXCHANGE PLACE,EXCHANGE PLACE,HANOVER STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/7/14,7:04,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/7/14,14:35,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,392 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/7/14,16:25,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10038,,,,,PEARL STREET,BROOKLYN BRIDGE,INTERSECTION,NEW YORK,,MANHATTAN
10/7/14,21:54,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,5 BEEKMAN STREET,BEEKMAN STREET,THEATER ALLEY,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/7/14,22:15,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,,,,,BEEKMAN STREET,NASSAU STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/7/14,22:51,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,15 BEEKMAN STREET,BEEKMAN STREET,,,,,ADDRESS,NEW YORK,,MANHATTAN
10/8/14,0:30,Noise - Residential,Loud Talking,Residential Building/House,10005,20 EXCHANGE PLACE,EXCHANGE PLACE,HANOVER STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/8/14,12:06,Noise - Residential,Banging/Pounding,Residential Building/House,10013,137 DUANE STREET,DUANE STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
10/9/14,6:24,Noise - Residential,Loud Music/Party,Residential Building/House,10038,176 BROADWAY,BROADWAY,CORTLANDT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/9/14,6:30,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
10/9/14,7:09,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10004,,,,,WILLIAM STREET,BEAVER STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/9/14,14:07,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,BROADWAY,BROADWAY,CEDAR STREET,LIBERTY STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
10/9/14,14:31,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/9/14,14:49,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/9/14,14:50,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
10/9/14,16:59,Noise - Residential,Loud Television,Residential Building/House,10013,346 BROADWAY,BROADWAY,CATHERINE LANE,LEONARD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
